------Generation 0------
Rule  1: 00a000000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 151c9b841, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 13451bc57, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 811c52517, Class:  4, CF:  1, Len:  9, Fitness_tra: 0
Rule 19: 000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: e00700600, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 814317111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 834311221, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 15251b5d7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 11ec5722b, Class:  0, CF:0.469071, Len:  9, Fitness_tra: 0
Rule 29: 090370000, Class:  6, CF:  1, Len:  3, Fitness_tra: 0
Rule 30: 000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 0300000d0, Class:  4, CF:  1, Len:  2, Fitness_tra: 0
Rule 32: 000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 5d3c21824, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 005000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 000000400, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: c5ec3b524, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 020000300, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 400000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 5161245b7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 15112b24b, Class:  6, CF:  1, Len:  9, Fitness_tra: 0
Rule 47: 8141342d1, Class:  6, CF:  1, Len:  9, Fitness_tra: 0
Rule 48: d00000d00, Class:  1, CF:0.926378, Len:  2, Fitness_tra: 0
Rule 49: 000cf8c00, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 8145941d2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 008000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 821514121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 00d000d00, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: c111911b4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 283117822, Class:  1, CF:0.914984, Len:  9, Fitness_tra: 1
Rule 60: 000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: d231522b4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 00a000000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 090000000, Class:  5, CF:0.559203, Len:  1, Fitness_tra: 0
Rule 68: 11259b8db, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 440000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 421291144, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 009000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: c815d71b2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: d512111b1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 111931542, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 11e137824, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 153d12127, Class:  6, CF:  1, Len:  9, Fitness_tra: 0
Rule 88: 000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: d16c84224, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 020100000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 000e00000, Class:  4, CF:0.607143, Len:  1, Fitness_tra: 2
Rule 93: 000c32b00, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 006050000, Class:  6, CF:0.164931, Len:  2, Fitness_tra: 5
Rule 95: d20110600, Class:  6, CF:  1, Len:  5, Fitness_tra: 1
Rule 96: 02ec0b000, Class:  1, CF:0.365801, Len:  4, Fitness_tra: -9
Rule 97: 600000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 05b000010, Class:  5, CF:0.416448, Len:  3, Fitness_tra: 2
Rule 99: d903111b0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 55e911144, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:57.8947
------Result------
Miss_rate(tra)	:57.8947
Miss_rate(tst)	:55.814
ARL				:5.14286

------Generation 2------
Rule  1: 000500000, Class:  6, CF:0.270588, Len:  1, Fitness_tra: 7
Rule  2: d00000d00, Class:  1, CF:0.926378, Len:  2, Fitness_tra: 4
Rule  3: 1231d1c21, Class:  6, CF:  1, Len:  9, Fitness_tra: 1
Rule  4: e00000000, Class:  1, CF:  1, Len:  1, Fitness_tra: 2
Rule  5: 15611b811, Class:  1, CF:0.982264, Len:  9, Fitness_tra: 0
Rule  6: 00a000000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 25e232817, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 15e41b521, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 000400000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 2818512b7, Class:  6, CF:  1, Len:  9, Fitness_tra: 0
Rule 13: 006000000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 151c9b841, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 13451bc57, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 811c52517, Class:  4, CF:  1, Len:  9, Fitness_tra: 0
Rule 19: 000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: e00700600, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 814317111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 834311221, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 15251b5d7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 11ec5722b, Class:  0, CF:0.469071, Len:  9, Fitness_tra: 0
Rule 29: 090370000, Class:  6, CF:  1, Len:  3, Fitness_tra: 0
Rule 30: 000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 0300000d0, Class:  4, CF:  1, Len:  2, Fitness_tra: 0
Rule 32: 000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 5d3c21824, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 005000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
