------Generation 0------
Rule  1: a633231112119811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 0900000000005d03, Class:  8, CF:0.368421, Len:  4, Fitness_tra: 0
Rule 21: b35f61a1311b1811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: a116d31212111841, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 2f491417aca35a11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 0800000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 361f193163a59174, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 2121152b12211a1a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 7616361151228235, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: a313132814a11212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 0900000000000003, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 2151613331148272, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 431f931d31643414, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 1316111331615471, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 231f395211111811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: b1131e181b111115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 1336193c1b2111f8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 131f113127b81511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 468113c1114414a4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 3111231333311811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 11111511f1315c1b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 0050000000000037, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 4e81315111121b6b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 13111636113112b1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 1613251211a51114, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 451931f1131de11b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 5f2345cb12611381, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 1a16152117379144, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 0000000080000000, Class:  7, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 11212d425b6c1111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 1111295111115da1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 1f8175425ba16136, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 191391552241111b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 212ad18112125237, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 1321b81714691311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 11113615d2721111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 000f0000500c3740, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: e04000000d006008, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 111f136112115211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 134915f13111111b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 3a168d4824111172, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 168a932d111714a2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 1323511421411111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 3e3f511115a2d244, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 2151a153123212b4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 00099f0009000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 8625141261aedf43, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 2153f11154112161, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 41daf33111381121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 23b18411a1ea8141, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: af13811111115141, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 6f96515111e22117, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: b11313a111315c12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 11211114a51e2f79, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 1121151b2255f116, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 533f111915375444, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 11ea3115a8111212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 711393161e1d3c11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 2f464d1261156c37, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 333f411511151212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 339f162511111161, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 56e6113132371741, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 16b1b135a1115122, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 118121149b625211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 1313131915321b72, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 1315122b28196126, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 214884e131e62f25, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: b65f33e1922182a1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: f6112915421b1241, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 1115111772411111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: b600090000006208, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 5311121124151631, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 132a1155151e9fb9, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 134315313111111d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: e111d511f1315c1b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 06000e0060000050, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 231f3952d1111811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 131156152271118c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 4311531233231811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: b356ada901115811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: a121231111119847, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 1311314572173112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:96.5909
------Result------
Miss_rate(tra)	:96.5909
Miss_rate(tst)	:97.2727
ARL				:10.3333

------Generation 1------
Rule  1: 2179551221412163, Class:  3, CF:0.92212, Len: 16, Fitness_tra: 5
Rule  2: 06000e000d000050, Class:  1, CF:  1, Len:  4, Fitness_tra: 2
Rule  3: 2115211761131311, Class:  6, CF:0.936577, Len: 16, Fitness_tra: 4
Rule  4: 050e0000600d0c50, Class:  9, CF:  1, Len:  6, Fitness_tra: 1
Rule  5: 1125381711135aa6, Class:  6, CF:  1, Len: 16, Fitness_tra: 1
Rule  6: a633231112119811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 1111412512e8a11b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 2a116311318458a2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 4321511421231611, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 1a26211118311217, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 21113155e1621771, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: f331114274179212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 365383b1581d3131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 13234527143de321, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 21161111b111541b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 13163115221731a2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 235a115515f191b2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: c31a631918115712, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 6353512114141111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 0900000000005d03, Class:  8, CF:0.368421, Len:  4, Fitness_tra: 0
Rule 21: b35f61a1311b1811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: a116d31212111841, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 2f491417aca35a11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 0800000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 361f193163a59174, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 2121152b12211a1a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 7616361151228235, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: a313132814a11212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 0900000000000003, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 2151613331148272, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 431f931d31643414, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 1316111331615471, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 231f395211111811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: b1131e181b111115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 1336193c1b2111f8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 131f113127b81511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 468113c1114414a4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 3111231333311811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 11111511f1315c1b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 0050000000000037, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 4e81315111121b6b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 13111636113112b1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 1613251211a51114, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 451931f1131de11b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 5f2345cb12611381, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 1a16152117379144, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 0000000080000000, Class:  7, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 11212d425b6c1111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 1111295111115da1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 1f8175425ba16136, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 191391552241111b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 212ad18112125237, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 1321b81714691311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 11113615d2721111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 000f0000500c3740, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: e04000000d006008, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 111f136112115211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 134915f13111111b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 3a168d4824111172, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 168a932d111714a2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 1323511421411111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 3e3f511115a2d244, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 2151a153123212b4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 00099f0009000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 8625141261aedf43, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 2153f11154112161, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 41daf33111381121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 23b18411a1ea8141, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: af13811111115141, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 6f96515111e22117, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: b11313a111315c12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 11211114a51e2f79, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 1121151b2255f116, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 533f111915375444, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 11ea3115a8111212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 711393161e1d3c11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 2f464d1261156c37, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 333f411511151212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 339f162511111161, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 56e6113132371741, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: c13a11e1153c51b2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 9f162d411ba13241, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 235a3392118151f2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: ff531dbc2451dc18, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 211113ff63915184, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 162a252c52641127, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 1e55511125353686, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 1313211111353c11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 2111aa111e1112bb, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 1171111412553121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 48800001110b1000, Class:  2, CF:0.423955, Len:  8, Fitness_tra: -68
Rule 92: f6112715421b1711, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 21b1801512ea8111, Class:  9, CF:  1, Len: 15, Fitness_tra: 2
Rule 94: 7b16961151628271, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: e111d5a921235c1b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 5115451761a11381, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 410a030011681122, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: b6001630213162b8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: c350031018005787, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 16b1613311311124, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:93.2955
------Result------
Miss_rate(tra)	:93.2955
Miss_rate(tst)	:93.1818
ARL				:10.625

------Generation 2------
Rule  1: 2179551221412163, Class:  3, CF:0.92212, Len: 16, Fitness_tra: 5
Rule  2: 06000e000d000050, Class:  1, CF:  1, Len:  4, Fitness_tra: 2
Rule  3: 2115211761131311, Class:  6, CF:0.936577, Len: 16, Fitness_tra: 4
Rule  4: 050e0000600d0c50, Class:  9, CF:  1, Len:  6, Fitness_tra: 1
Rule  5: 1125381711135aa6, Class:  6, CF:  1, Len: 16, Fitness_tra: 1
Rule  6: a633231112119811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 1111412512e8a11b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 2a116311318458a2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 4321511421231611, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
