------Generation 0------
Rule  1: 0000000000, Class:  0, CF:0.795751, Len:  0, Fitness_tra: 3484
Rule 99: 4e712d42b4, Class:  1, CF:0.42366, Len: 10, Fitness_tra: 0
Rule100: 71272f242b, Class:  4, CF:0.999804, Len: 10, Fitness_tra: 0
------Current------
Miss_rate(tra)	:10.1896
------Result------
Miss_rate(tra)	:10.1896
Miss_rate(tst)	:10.2283
ARL				:8.24051

------Generation 0------
Rule  1: 0000000000, Class:  0, CF:0.795751, Len:  0, Fitness_tra: 3484
Rule  2: 0000000000, Class:  0, CF:0.795751, Len:  0, Fitness_tra: 0
Rule  3: b14221bb12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 722183b22b, Class:  2, CF:0.400879, Len: 10, Fitness_tra: 0
Rule  5: 1172412741, Class:  0, CF:0.127448, Len: 10, Fitness_tra: 0
Rule  6: 0000000000, Class:  0, CF:0.795751, Len:  0, Fitness_tra: 0
Rule  7: b7b45311b4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 211436741b, Class:  4, CF:0.914393, Len: 10, Fitness_tra: 0
Rule  9: b417c32241, Class:  0, CF:0.771664, Len: 10, Fitness_tra: 0
Rule 10: 11b45e1bbb, Class:  0, CF:0.685489, Len: 10, Fitness_tra: 0
Rule 11: 18b4137227, Class:  4, CF:0.49579, Len: 10, Fitness_tra: 0
Rule 12: 7724561b22, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 1111237b14, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 2147c91bbb, Class:  0, CF:0.999855, Len: 10, Fitness_tra: 0
Rule 15: 17b25f1b1b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 0000000000, Class:  0, CF:0.795751, Len:  0, Fitness_tra: 0
Rule 17: 1414167412, Class:  4, CF:0.425313, Len: 10, Fitness_tra: 0
Rule 18: 1127511b71, Class:  0, CF:0.407055, Len: 10, Fitness_tra: 0
Rule 19: 7b225eb122, Class:  2, CF:0.86554, Len: 10, Fitness_tra: 0
Rule 20: 4771214477, Class:  2, CF:0.562058, Len: 10, Fitness_tra: 0
Rule 21: b114831222, Class:  0, CF:0.706124, Len: 10, Fitness_tra: 0
Rule 22: 7b128322b4, Class:  0, CF:0.671112, Len: 10, Fitness_tra: 0
Rule 23: 72445abbb1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 744221b117, Class:  0, CF:0.197327, Len: 10, Fitness_tra: 0
Rule 25: b541217142, Class:  2, CF:0.775853, Len: 10, Fitness_tra: 0
Rule 26: 0000000000, Class:  0, CF:0.795751, Len:  0, Fitness_tra: 0
Rule 27: 29212e2bb7, Class:  1, CF:0.0921918, Len: 10, Fitness_tra: 0
Rule 28: 7147c5247b, Class:  2, CF:0.0699922, Len: 10, Fitness_tra: 0
Rule 29: 2777c14442, Class:  2, CF:0.676642, Len: 10, Fitness_tra: 0
Rule 30: 4147c12227, Class:  2, CF:0.771244, Len: 10, Fitness_tra: 0
Rule 31: 42441a2b2b, Class:  4, CF:0.999236, Len: 10, Fitness_tra: 0
Rule 32: 0000000000, Class:  0, CF:0.795751, Len:  0, Fitness_tra: 0
Rule 33: 72b4251b44, Class:  0, CF:0.300683, Len: 10, Fitness_tra: 0
Rule 34: 1441c34b41, Class:  0, CF:0.885163, Len: 10, Fitness_tra: 0
Rule 35: 4717131447, Class:  4, CF:0.441013, Len: 10, Fitness_tra: 0
Rule 36: 224723b14b, Class:  4, CF:0.249597, Len: 10, Fitness_tra: 0
Rule 37: 2cbb16144b, Class:  4, CF:0.785, Len: 10, Fitness_tra: 0
Rule 38: b84b167241, Class:  4, CF:0.994069, Len: 10, Fitness_tra: 0
Rule 39: 74721e2772, Class:  0, CF:0.036803, Len: 10, Fitness_tra: 0
Rule 40: 7d742317b1, Class:  4, CF:0.351158, Len: 10, Fitness_tra: 0
Rule 41: b211454424, Class:  2, CF:0.726843, Len: 10, Fitness_tra: 0
Rule 42: bb7256bb22, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 7124c54722, Class:  2, CF:0.739144, Len: 10, Fitness_tra: 0
Rule 44: 0000000000, Class:  0, CF:0.795751, Len:  0, Fitness_tra: 0
Rule 45: b5b7292271, Class:  1, CF:0.952867, Len: 10, Fitness_tra: 0
Rule 46: 26b2294471, Class:  2, CF:0.920849, Len: 10, Fitness_tra: 0
Rule 47: 2712214bb4, Class:  0, CF:0.309179, Len: 10, Fitness_tra: 0
Rule 48: 1744854111, Class:  1, CF:0.36973, Len: 10, Fitness_tra: 0
Rule 49: 14b4832b27, Class:  0, CF:0.976445, Len: 10, Fitness_tra: 0
Rule 50: 22b721b722, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 4244ce4717, Class:  0, CF:0.928301, Len: 10, Fitness_tra: 0
Rule 52: 7744514147, Class:  2, CF:0.648602, Len: 10, Fitness_tra: 0
Rule 53: 42b1267221, Class:  4, CF:0.994229, Len: 10, Fitness_tra: 0
Rule 54: 1d2b25bb12, Class:  0, CF:0.318395, Len: 10, Fitness_tra: 0
Rule 55: 1741862227, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 744b1177b7, Class:  4, CF:0.492482, Len: 10, Fitness_tra: 0
Rule 57: 4c148a7122, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 417471b2b7, Class:  4, CF:0.151237, Len: 10, Fitness_tra: 0
Rule 59: 1d728d21b4, Class:  0, CF:0.361372, Len: 10, Fitness_tra: 0
Rule 60: 7c2b132b24, Class:  4, CF:0.861936, Len: 10, Fitness_tra: 0
Rule 61: 0000000800, Class:  2, CF:0.93735, Len:  1, Fitness_tra: 1
Rule 62: 717131b1b2, Class:  4, CF:0.753605, Len: 10, Fitness_tra: 0
Rule 63: 1417d1b7b4, Class:  0, CF:0.362918, Len: 10, Fitness_tra: 0
Rule 64: 7c24161111, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 42121977b2, Class:  0, CF:0.614306, Len: 10, Fitness_tra: 0
Rule 66: 77b72e7124, Class:  2, CF:0.66698, Len: 10, Fitness_tra: 0
Rule 67: b8b48e7427, Class:  0, CF:0.269933, Len: 10, Fitness_tra: 0
Rule 68: 7421834727, Class:  0, CF:0.962495, Len: 10, Fitness_tra: 0
Rule 69: 0000000000, Class:  0, CF:0.795751, Len:  0, Fitness_tra: 0
Rule 70: 0000000000, Class:  0, CF:0.795751, Len:  0, Fitness_tra: 0
Rule 71: b211c9124b, Class:  0, CF:0.999838, Len: 10, Fitness_tra: 0
Rule 72: 22b225bb41, Class:  1, CF:0.190525, Len: 10, Fitness_tra: 0
Rule 73: b72413427b, Class:  4, CF:0.850281, Len: 10, Fitness_tra: 0
Rule 74: 4242c64217, Class:  0, CF:0.550066, Len: 10, Fitness_tra: 0
Rule 75: 41774d777b, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 4b218ab411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 4127812174, Class:  2, CF:0.134476, Len: 10, Fitness_tra: 0
Rule 78: 0000000000, Class:  0, CF:0.795751, Len:  0, Fitness_tra: 0
Rule 79: 24b2261b1b, Class:  4, CF:0.878557, Len: 10, Fitness_tra: 0
Rule 80: 1b1b5f7221, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: b2242a2222, Class:  4, CF:0.999899, Len: 10, Fitness_tra: 0
Rule 82: 111755bb7b, Class:  0, CF:0.43132, Len: 10, Fitness_tra: 0
Rule 83: 0000000000, Class:  0, CF:0.795751, Len:  0, Fitness_tra: 0
Rule 84: 4c2cff14b1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 717b29bb22, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 7721817727, Class:  2, CF:0.85765, Len: 10, Fitness_tra: 0
Rule 87: 114b21bb21, Class:  0, CF:0.155042, Len: 10, Fitness_tra: 0
Rule 88: 0000000000, Class:  0, CF:0.795751, Len:  0, Fitness_tra: 0
Rule 89: 7114cf712b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 21b4cab4b2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: b7b78a1b14, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 4111464227, Class:  4, CF:0.98255, Len: 10, Fitness_tra: 0
Rule 93: bb47332b12, Class:  4, CF:0.568283, Len: 10, Fitness_tra: 0
Rule 94: 7721862142, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 0000000000, Class:  0, CF:0.795751, Len:  0, Fitness_tra: 0
Rule 96: 444b812244, Class:  2, CF:0.613116, Len: 10, Fitness_tra: 0
Rule 97: 474b212241, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 4721de1174, Class:  2, CF:0.931537, Len: 10, Fitness_tra: 0
Rule 99: 4e712d42b4, Class:  1, CF:0.42366, Len: 10, Fitness_tra: 0
Rule100: 71272f242b, Class:  4, CF:0.999804, Len: 10, Fitness_tra: 0
------Current------
Miss_rate(tra)	:10.1896
------Result------
Miss_rate(tra)	:10.1896
Miss_rate(tst)	:10.2283
ARL				:8.24051

------Generation 1------
Rule  1: 0000000000, Class:  0, CF:0.795751, Len:  0, Fitness_tra: 3484
Rule  2: 0000000000, Class:  0, CF:0.795751, Len:  0, Fitness_tra: 0
Rule  3: b14221bb12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 722183b22b, Class:  2, CF:0.400879, Len: 10, Fitness_tra: 0
Rule  5: 1172412741, Class:  0, CF:0.127448, Len: 10, Fitness_tra: 0
Rule  6: 0000000000, Class:  0, CF:0.795751, Len:  0, Fitness_tra: 0
Rule  7: b7b45311b4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 211436741b, Class:  4, CF:0.914393, Len: 10, Fitness_tra: 0
Rule  9: b417c32241, Class:  0, CF:0.771664, Len: 10, Fitness_tra: 0
Rule 10: 11b45e1bbb, Class:  0, CF:0.685489, Len: 10, Fitness_tra: 0
Rule 11: 18b4137227, Class:  4, CF:0.49579, Len: 10, Fitness_tra: 0
Rule 12: 7724561b22, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 1111237b14, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 2147c91bbb, Class:  0, CF:0.999855, Len: 10, Fitness_tra: 0
Rule 15: 17b25f1b1b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 0000000000, Class:  0, CF:0.795751, Len:  0, Fitness_tra: 0
Rule 17: 1414167412, Class:  4, CF:0.425313, Len: 10, Fitness_tra: 0
Rule 18: 1127511b71, Class:  0, CF:0.407055, Len: 10, Fitness_tra: 0
Rule 19: 7b225eb122, Class:  2, CF:0.86554, Len: 10, Fitness_tra: 0
Rule 20: 4771214477, Class:  2, CF:0.562058, Len: 10, Fitness_tra: 0
Rule 21: b114831222, Class:  0, CF:0.706124, Len: 10, Fitness_tra: 0
Rule 22: 7b128322b4, Class:  0, CF:0.671112, Len: 10, Fitness_tra: 0
Rule 23: 72445abbb1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 744221b117, Class:  0, CF:0.197327, Len: 10, Fitness_tra: 0
Rule 25: b541217142, Class:  2, CF:0.775853, Len: 10, Fitness_tra: 0
Rule 26: 0000000000, Class:  0, CF:0.795751, Len:  0, Fitness_tra: 0
Rule 27: 29212e2bb7, Class:  1, CF:0.0921918, Len: 10, Fitness_tra: 0
Rule 28: 7147c5247b, Class:  2, CF:0.0699922, Len: 10, Fitness_tra: 0
Rule 29: 2777c14442, Class:  2, CF:0.676642, Len: 10, Fitness_tra: 0
Rule 30: 4147c12227, Class:  2, CF:0.771244, Len: 10, Fitness_tra: 0
Rule 31: 42441a2b2b, Class:  4, CF:0.999236, Len: 10, Fitness_tra: 0
Rule 32: 0000000000, Class:  0, CF:0.795751, Len:  0, Fitness_tra: 0
Rule 33: 72b4251b44, Class:  0, CF:0.300683, Len: 10, Fitness_tra: 0
Rule 34: 1441c34b41, Class:  0, CF:0.885163, Len: 10, Fitness_tra: 0
Rule 35: 4717131447, Class:  4, CF:0.441013, Len: 10, Fitness_tra: 0
Rule 36: 224723b14b, Class:  4, CF:0.249597, Len: 10, Fitness_tra: 0
Rule 37: 2cbb16144b, Class:  4, CF:0.785, Len: 10, Fitness_tra: 0
Rule 38: b84b167241, Class:  4, CF:0.994069, Len: 10, Fitness_tra: 0
Rule 39: 74721e2772, Class:  0, CF:0.036803, Len: 10, Fitness_tra: 0
Rule 40: 7d742317b1, Class:  4, CF:0.351158, Len: 10, Fitness_tra: 0
Rule 41: b211454424, Class:  2, CF:0.726843, Len: 10, Fitness_tra: 0
Rule 42: bb7256bb22, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 7124c54722, Class:  2, CF:0.739144, Len: 10, Fitness_tra: 0
Rule 44: 0000000000, Class:  0, CF:0.795751, Len:  0, Fitness_tra: 0
Rule 45: b5b7292271, Class:  1, CF:0.952867, Len: 10, Fitness_tra: 0
Rule 46: 26b2294471, Class:  2, CF:0.920849, Len: 10, Fitness_tra: 0
Rule 47: 2712214bb4, Class:  0, CF:0.309179, Len: 10, Fitness_tra: 0
Rule 48: 1744854111, Class:  1, CF:0.36973, Len: 10, Fitness_tra: 0
Rule 49: 14b4832b27, Class:  0, CF:0.976445, Len: 10, Fitness_tra: 0
Rule 50: 22b721b722, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 4244ce4717, Class:  0, CF:0.928301, Len: 10, Fitness_tra: 0
Rule 52: 7744514147, Class:  2, CF:0.648602, Len: 10, Fitness_tra: 0
Rule 53: 42b1267221, Class:  4, CF:0.994229, Len: 10, Fitness_tra: 0
Rule 54: 1d2b25bb12, Class:  0, CF:0.318395, Len: 10, Fitness_tra: 0
Rule 55: 1741862227, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 744b1177b7, Class:  4, CF:0.492482, Len: 10, Fitness_tra: 0
Rule 57: 4c148a7122, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 417471b2b7, Class:  4, CF:0.151237, Len: 10, Fitness_tra: 0
Rule 59: 1d728d21b4, Class:  0, CF:0.361372, Len: 10, Fitness_tra: 0
Rule 60: 7c2b132b24, Class:  4, CF:0.861936, Len: 10, Fitness_tra: 0
Rule 61: 0000000800, Class:  2, CF:0.93735, Len:  1, Fitness_tra: 1
Rule 62: 717131b1b2, Class:  4, CF:0.753605, Len: 10, Fitness_tra: 0
Rule 63: 1417d1b7b4, Class:  0, CF:0.362918, Len: 10, Fitness_tra: 0
Rule 64: 7c24161111, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 42121977b2, Class:  0, CF:0.614306, Len: 10, Fitness_tra: 0
Rule 66: 77b72e7124, Class:  2, CF:0.66698, Len: 10, Fitness_tra: 0
Rule 67: b8b48e7427, Class:  0, CF:0.269933, Len: 10, Fitness_tra: 0
Rule 68: 7421834727, Class:  0, CF:0.962495, Len: 10, Fitness_tra: 0
Rule 69: 0000000000, Class:  0, CF:0.795751, Len:  0, Fitness_tra: 0
Rule 70: 0000000000, Class:  0, CF:0.795751, Len:  0, Fitness_tra: 0
Rule 71: b211c9124b, Class:  0, CF:0.999838, Len: 10, Fitness_tra: 0
Rule 72: 22b225bb41, Class:  1, CF:0.190525, Len: 10, Fitness_tra: 0
Rule 73: b72413427b, Class:  4, CF:0.850281, Len: 10, Fitness_tra: 0
Rule 74: 4242c64217, Class:  0, CF:0.550066, Len: 10, Fitness_tra: 0
Rule 75: 41774d777b, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 4b218ab411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 4127812174, Class:  2, CF:0.134476, Len: 10, Fitness_tra: 0
Rule 78: 0000000000, Class:  0, CF:0.795751, Len:  0, Fitness_tra: 0
Rule 79: 24b2261b1b, Class:  4, CF:0.878557, Len: 10, Fitness_tra: 0
Rule 80: 1b1b5f7221, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: b2242a2222, Class:  4, CF:0.999899, Len: 10, Fitness_tra: 0
Rule 82: 111755bb7b, Class:  0, CF:0.43132, Len: 10, Fitness_tra: 0
Rule 83: 0000000000, Class:  0, CF:0.795751, Len:  0, Fitness_tra: 0
Rule 84: 4c2cff14b1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 717b29bb22, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 7721817727, Class:  2, CF:0.85765, Len: 10, Fitness_tra: 0
Rule 87: 114b21bb21, Class:  0, CF:0.155042, Len: 10, Fitness_tra: 0
Rule 88: 0000000000, Class:  0, CF:0.795751, Len:  0, Fitness_tra: 0
Rule 89: 7114cf712b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 21b4cab4b2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: b7b78a1b14, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 4111464227, Class:  4, CF:0.98255, Len: 10, Fitness_tra: 0
Rule 93: bb47332b12, Class:  4, CF:0.568283, Len: 10, Fitness_tra: 0
Rule 94: 7721862142, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 0000000000, Class:  0, CF:0.795751, Len:  0, Fitness_tra: 0
Rule 96: 444b812244, Class:  2, CF:0.613116, Len: 10, Fitness_tra: 0
Rule 97: 474b212241, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 4721de1174, Class:  2, CF:0.931537, Len: 10, Fitness_tra: 0
Rule 99: 4e712d42b4, Class:  1, CF:0.42366, Len: 10, Fitness_tra: 0
Rule100: 71272f242b, Class:  4, CF:0.999804, Len: 10, Fitness_tra: 0
------Current------
Miss_rate(tra)	:10.1896
------Result------
Miss_rate(tra)	:10.1896
Miss_rate(tst)	:10.2283
ARL				:8.24051

------Generation 2------
Rule  1: 0000000000, Class:  0, CF:0.795751, Len:  0, Fitness_tra: 3484
Rule  2: 0000000000, Class:  0, CF:0.795751, Len:  0, Fitness_tra: 0
Rule  3: b14221bb12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 722183b22b, Class:  2, CF:0.400879, Len: 10, Fitness_tra: 0
Rule  5: 1172412741, Class:  0, CF:0.127448, Len: 10, Fitness_tra: 0
Rule  6: 0000000000, Class:  0, CF:0.795751, Len:  0, Fitness_tra: 0
Rule  7: b7b45311b4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 211436741b, Class:  4, CF:0.914393, Len: 10, Fitness_tra: 0
Rule  9: b417c32241, Class:  0, CF:0.771664, Len: 10, Fitness_tra: 0
Rule 10: 11b45e1bbb, Class:  0, CF:0.685489, Len: 10, Fitness_tra: 0
Rule 11: 18b4137227, Class:  4, CF:0.49579, Len: 10, Fitness_tra: 0
Rule 12: 7724561b22, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
