------Generation 0------
Rule  1: 5541b, Class:  1, CF:0.95506, Len:  5, Fitness_tra: 0
Rule 28: e1211, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 182b4, Class:  1, CF:0.480077, Len:  5, Fitness_tra: 0
Rule 30: 8c744, Class:  0, CF:0.676261, Len:  5, Fitness_tra: 0
Rule 31: 35141, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 32: 18147, Class:  0, CF:0.234276, Len:  5, Fitness_tra: 0
Rule 33: 64122, Class:  1, CF:0.659262, Len:  5, Fitness_tra: 0
Rule 34: 1517b, Class:  1, CF:0.857995, Len:  5, Fitness_tra: 0
Rule 35: 18421, Class:  1, CF:0.689753, Len:  5, Fitness_tra: 0
Rule 36: 34112, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 00400, Class:  1, CF:0.056778, Len:  1, Fitness_tra: 0
Rule 38: 00500, Class:  1, CF:  1, Len:  1, Fitness_tra: 0
Rule 39: 113bb, Class:  2, CF:0.695358, Len:  5, Fitness_tra: 0
Rule 40: 9224b, Class:  2, CF:0.742643, Len:  5, Fitness_tra: 0
Rule 41: 00000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: e2225, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 64411, Class:  1, CF:0.993136, Len:  5, Fitness_tra: 0
Rule 44: 3527b, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 45: 15244, Class:  1, CF:0.979472, Len:  5, Fitness_tra: 0
Rule 46: 00000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 1d222, Class:  1, CF:0.950169, Len:  5, Fitness_tra: 0
Rule 48: 92c74, Class:  1, CF:0.951847, Len:  5, Fitness_tra: 0
Rule 49: 52122, Class:  2, CF:0.948607, Len:  5, Fitness_tra: 0
Rule 50: 1114b, Class:  2, CF:0.826066, Len:  5, Fitness_tra: 0
Rule 51: 00000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 98121, Class:  1, CF:0.695677, Len:  5, Fitness_tra: 0
Rule 53: 12414, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 12212, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: d224b, Class:  2, CF:0.361828, Len:  5, Fitness_tra: 0
Rule 56: 18117, Class:  0, CF:0.00214537, Len:  5, Fitness_tra: 0
Rule 57: 51c77, Class:  1, CF:0.352331, Len:  5, Fitness_tra: 0
Rule 58: e1272, Class:  2, CF:0.979503, Len:  5, Fitness_tra: 0
Rule 59: 88224, Class:  0, CF:0.539514, Len:  5, Fitness_tra: 0
Rule 60: 98cb1, Class:  1, CF:0.993606, Len:  5, Fitness_tra: 0
Rule 61: d5517, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 12211, Class:  1, CF:0.794755, Len:  5, Fitness_tra: -5
Rule 63: 00000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 00000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 52417, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 95172, Class:  1, CF:0.995151, Len:  5, Fitness_tra: 0
Rule 67: 911b4, Class:  2, CF:0.988351, Len:  5, Fitness_tra: 0
Rule 68: 00500, Class:  1, CF:  1, Len:  1, Fitness_tra: 0
Rule 69: 3c241, Class:  1, CF:0.900855, Len:  5, Fitness_tra: 0
Rule 70: 91211, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 00000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 9d114, Class:  1, CF:0.99188, Len:  5, Fitness_tra: 0
Rule 73: 92122, Class:  2, CF:0.963548, Len:  5, Fitness_tra: 0
Rule 74: 88714, Class:  0, CF:0.385354, Len:  5, Fitness_tra: 0
Rule 75: e8247, Class:  1, CF:0.784773, Len:  5, Fitness_tra: 0
Rule 76: 11141, Class:  2, CF:0.535548, Len:  5, Fitness_tra: 0
Rule 77: 5271b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 35c41, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 79: 91211, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 31124, Class:  2, CF:0.4164, Len:  5, Fitness_tra: 0
Rule 81: 1111b, Class:  2, CF:0.113672, Len:  5, Fitness_tra: 0
Rule 82: d82bb, Class:  0, CF:0.707595, Len:  5, Fitness_tra: 0
Rule 83: 52241, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 11cb2, Class:  1, CF:0.544746, Len:  5, Fitness_tra: 0
Rule 85: d81b7, Class:  0, CF:0.869055, Len:  0, Fitness_tra: 0
Rule 86: d81b4, Class:  0, CF:0.869055, Len:  5, Fitness_tra: 0
Rule 87: 98c27, Class:  1, CF:0.970754, Len:  5, Fitness_tra: 0
Rule 88: 151b2, Class:  1, CF:0.857995, Len:  5, Fitness_tra: 0
Rule 89: 52c77, Class:  1, CF:0.818943, Len:  5, Fitness_tra: 0
Rule 90: 0c700, Class:  1, CF:0.115725, Len:  2, Fitness_tra: -54
Rule 91: 581a2, Class:  0, CF:0.379001, Len:  5, Fitness_tra: 0
Rule 92: c33b2, Class:  2, CF:0.878318, Len:  0, Fitness_tra: 0
Rule 93: 52141, Class:  2, CF:0.440759, Len:  5, Fitness_tra: 0
Rule 94: a21ab, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 95: 01011, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 80700, Class:  0, CF:0.003627, Len:  2, Fitness_tra: 0
Rule 97: 111b4, Class:  2, CF:0.841704, Len:  5, Fitness_tra: 1
Rule 98: d8c24, Class:  1, CF:0.681195, Len:  5, Fitness_tra: 0
Rule 99: d2141, Class:  2, CF:0.403597, Len:  5, Fitness_tra: 0
Rule100: 02002, Class:  2, CF:0.247064, Len:  2, Fitness_tra: 0
------Current------
Miss_rate(tra)	:69.7674
------Result------
Miss_rate(tra)	:69.7674
Miss_rate(tst)	:69.7674
ARL				:4.5

------Generation 1------
Rule  1: 00c00, Class:  1, CF:0.979392, Len:  1, Fitness_tra: 9
Rule  2: 51141, Class:  2, CF:0.922955, Len:  5, Fitness_tra: 6
Rule  3: 15111, Class:  1, CF:0.975663, Len:  5, Fitness_tra: 4
Rule  4: 23117, Class:  2, CF:0.690824, Len:  5, Fitness_tra: -33
Rule  5: 00500, Class:  1, CF:  1, Len:  1, Fitness_tra: 5
Rule  6: 11121, Class:  2, CF:0.681668, Len:  5, Fitness_tra: 2
Rule  7: 05c00, Class:  1, CF:  1, Len:  2, Fitness_tra: 1
Rule  8: ed000, Class:  1, CF:  1, Len:  2, Fitness_tra: 1
Rule  9: d21b2, Class:  2, CF:0.942402, Len:  5, Fitness_tra: 1
Rule 10: 32411, Class:  1, CF:0.965562, Len:  5, Fitness_tra: 1
Rule 11: 5541b, Class:  1, CF:0.95506, Len:  5, Fitness_tra: 0
Rule 12: 55112, Class:  1, CF:0.860118, Len:  5, Fitness_tra: 0
Rule 13: 1d127, Class:  1, CF:0.688341, Len:  5, Fitness_tra: 0
Rule 14: 9dc2b, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 15: 18171, Class:  1, CF:0.451423, Len:  5, Fitness_tra: 0
Rule 16: 517b2, Class:  2, CF:0.968781, Len:  5, Fitness_tra: 2
Rule 17: 11714, Class:  2, CF:0.13414, Len:  5, Fitness_tra: 0
Rule 18: d81b7, Class:  0, CF:0.869055, Len:  5, Fitness_tra: 0
Rule 19: 51217, Class:  2, CF:0.439786, Len:  5, Fitness_tra: 0
Rule 20: 1c112, Class:  0, CF:0.597009, Len:  5, Fitness_tra: 0
Rule 21: 00400, Class:  1, CF:0.056778, Len:  1, Fitness_tra: -9
Rule 22: c33b2, Class:  2, CF:0.878318, Len:  5, Fitness_tra: 0
Rule 23: 04000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: e1142, Class:  2, CF:0.994892, Len:  5, Fitness_tra: 0
Rule 25: d8c27, Class:  1, CF:0.681195, Len:  5, Fitness_tra: 0
Rule 26: 1272b, Class:  2, CF:0.0178388, Len:  5, Fitness_tra: 0
Rule 27: 04700, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: e1211, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 182b4, Class:  1, CF:0.480077, Len:  5, Fitness_tra: 0
Rule 30: 8c744, Class:  0, CF:0.676261, Len:  5, Fitness_tra: 0
Rule 31: 35141, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 32: 18147, Class:  0, CF:0.234276, Len:  5, Fitness_tra: 0
Rule 33: 64122, Class:  1, CF:0.659262, Len:  5, Fitness_tra: 0
Rule 34: 1517b, Class:  1, CF:0.857995, Len:  5, Fitness_tra: 0
Rule 35: 18421, Class:  1, CF:0.689753, Len:  5, Fitness_tra: 0
Rule 36: 34112, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 00400, Class:  1, CF:0.056778, Len:  1, Fitness_tra: 0
Rule 38: 00500, Class:  1, CF:  1, Len:  1, Fitness_tra: 0
Rule 39: 113bb, Class:  2, CF:0.695358, Len:  5, Fitness_tra: 0
Rule 40: 9224b, Class:  2, CF:0.742643, Len:  5, Fitness_tra: 0
Rule 41: 00000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: e2225, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 64411, Class:  1, CF:0.993136, Len:  5, Fitness_tra: 0
Rule 44: 3527b, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 45: 15244, Class:  1, CF:0.979472, Len:  5, Fitness_tra: 0
Rule 46: 00000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 1d222, Class:  1, CF:0.950169, Len:  5, Fitness_tra: 0
Rule 48: 92c74, Class:  1, CF:0.951847, Len:  5, Fitness_tra: 0
Rule 49: 52122, Class:  2, CF:0.948607, Len:  5, Fitness_tra: 0
Rule 50: 1114b, Class:  2, CF:0.826066, Len:  5, Fitness_tra: 0
Rule 51: 00000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 98121, Class:  1, CF:0.695677, Len:  5, Fitness_tra: 0
Rule 53: 12414, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 12212, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: d224b, Class:  2, CF:0.361828, Len:  5, Fitness_tra: 0
Rule 56: 18117, Class:  0, CF:0.00214537, Len:  5, Fitness_tra: 0
Rule 57: 51c77, Class:  1, CF:0.352331, Len:  5, Fitness_tra: 0
Rule 58: e1272, Class:  2, CF:0.979503, Len:  5, Fitness_tra: 0
Rule 59: 88224, Class:  0, CF:0.539514, Len:  5, Fitness_tra: 0
Rule 60: 98cb1, Class:  1, CF:0.993606, Len:  5, Fitness_tra: 0
Rule 61: d5517, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 12211, Class:  1, CF:0.794755, Len:  5, Fitness_tra: -5
Rule 63: 00000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 00000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 52417, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 95172, Class:  1, CF:0.995151, Len:  5, Fitness_tra: 0
Rule 67: 911b4, Class:  2, CF:0.988351, Len:  5, Fitness_tra: 0
Rule 68: 00500, Class:  1, CF:  1, Len:  1, Fitness_tra: 0
Rule 69: 3c241, Class:  1, CF:0.900855, Len:  5, Fitness_tra: 0
Rule 70: 91211, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 00000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 9d114, Class:  1, CF:0.99188, Len:  5, Fitness_tra: 0
Rule 73: 92122, Class:  2, CF:0.963548, Len:  5, Fitness_tra: 0
Rule 74: 88714, Class:  0, CF:0.385354, Len:  5, Fitness_tra: 0
Rule 75: e8247, Class:  1, CF:0.784773, Len:  5, Fitness_tra: 0
Rule 76: 11141, Class:  2, CF:0.535548, Len:  5, Fitness_tra: 0
Rule 77: 5271b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 35c41, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 79: 91211, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 31124, Class:  2, CF:0.4164, Len:  5, Fitness_tra: 0
Rule 81: 1111b, Class:  2, CF:0.113672, Len:  5, Fitness_tra: 0
Rule 82: d82bb, Class:  0, CF:0.707595, Len:  5, Fitness_tra: 0
Rule 83: 52241, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 11cb2, Class:  1, CF:0.544746, Len:  5, Fitness_tra: 0
Rule 85: d81b7, Class:  0, CF:0.869055, Len:  0, Fitness_tra: 0
Rule 86: d81b4, Class:  0, CF:0.869055, Len:  5, Fitness_tra: 0
Rule 87: 98c27, Class:  1, CF:0.970754, Len:  5, Fitness_tra: 0
Rule 88: 151b2, Class:  1, CF:0.857995, Len:  5, Fitness_tra: 0
Rule 89: 52c77, Class:  1, CF:0.818943, Len:  5, Fitness_tra: 0
Rule 90: 0c700, Class:  1, CF:0.115725, Len:  2, Fitness_tra: -54
Rule 91: 581a2, Class:  0, CF:0.379001, Len:  5, Fitness_tra: 0
Rule 92: c33b2, Class:  2, CF:0.878318, Len:  0, Fitness_tra: 0
Rule 93: 52141, Class:  2, CF:0.440759, Len:  5, Fitness_tra: 0
Rule 94: a21ab, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 95: 01011, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 80700, Class:  0, CF:0.003627, Len:  2, Fitness_tra: 0
Rule 97: 111b4, Class:  2, CF:0.841704, Len:  5, Fitness_tra: 1
Rule 98: d8c24, Class:  1, CF:0.681195, Len:  5, Fitness_tra: 0
Rule 99: d2141, Class:  2, CF:0.403597, Len:  5, Fitness_tra: 0
Rule100: 02002, Class:  2, CF:0.247064, Len:  2, Fitness_tra: 0
------Current------
Miss_rate(tra)	:69.7674
------Result------
Miss_rate(tra)	:69.7674
Miss_rate(tst)	:69.7674
ARL				:4.5

------Generation 2------
Rule  1: 00c00, Class:  1, CF:0.979392, Len:  1, Fitness_tra: 9
Rule  2: 51141, Class:  2, CF:0.922955, Len:  5, Fitness_tra: 9
Rule  3: 00500, Class:  1, CF:  1, Len:  1, Fitness_tra: 5
Rule  4: 15111, Class:  1, CF:0.975663, Len:  5, Fitness_tra: 3
Rule  5: 517b2, Class:  2, CF:0.968781, Len:  5, Fitness_tra: 2
Rule  6: 11121, Class:  2, CF:0.681668, Len:  5, Fitness_tra: 2
Rule  7: 111b4, Class:  2, CF:0.841704, Len:  5, Fitness_tra: 2
Rule  8: ed000, Class:  1, CF:  1, Len:  2, Fitness_tra: 1
Rule  9: d21b2, Class:  2, CF:0.942402, Len:  5, Fitness_tra: 1
Rule 10: 32411, Class:  1, CF:0.965562, Len:  5, Fitness_tra: 0
Rule 11: 05c00, Class:  1, CF:  1, Len:  2, Fitness_tra: 1
Rule 12: 02002, Class:  2, CF:0.247064, Len:  2, Fitness_tra: 0
Rule 13: 1d127, Class:  1, CF:0.688341, Len:  5, Fitness_tra: 0
Rule 14: 9dc2b, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 15: 18171, Class:  1, CF:0.451423, Len:  5, Fitness_tra: 0
Rule 16: 5541b, Class:  1, CF:0.95506, Len:  5, Fitness_tra: 0
Rule 17: 11714, Class:  2, CF:0.13414, Len:  5, Fitness_tra: 0
Rule 18: d81b7, Class:  0, CF:0.869055, Len:  5, Fitness_tra: 0
Rule 19: 51217, Class:  2, CF:0.439786, Len:  5, Fitness_tra: 0
Rule 20: 1c112, Class:  0, CF:0.597009, Len:  5, Fitness_tra: 1
Rule 21: d2141, Class:  2, CF:0.403597, Len:  5, Fitness_tra: 0
Rule 22: c33b2, Class:  2, CF:0.878318, Len:  5, Fitness_tra: 0
Rule 23: 04000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: e1142, Class:  2, CF:0.994892, Len:  5, Fitness_tra: 0
Rule 25: d8c27, Class:  1, CF:0.681195, Len:  5, Fitness_tra: 0
Rule 26: 1272b, Class:  2, CF:0.0178388, Len:  5, Fitness_tra: 0
Rule 27: 04700, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: e1211, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 182b4, Class:  1, CF:0.480077, Len:  5, Fitness_tra: 0
Rule 30: 8c744, Class:  0, CF:0.676261, Len:  5, Fitness_tra: 0
Rule 31: 35141, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 32: 18147, Class:  0, CF:0.234276, Len:  5, Fitness_tra: 0
Rule 33: 64122, Class:  1, CF:0.659262, Len:  5, Fitness_tra: 0
Rule 34: 1517b, Class:  1, CF:0.857995, Len:  5, Fitness_tra: 0
Rule 35: 18421, Class:  1, CF:0.689753, Len:  5, Fitness_tra: 0
