------Generation 0------
Rule  1: 0405, Class:  0, CF:0.136099, Len:  2, Fitness_tra: 3
Rule 20: 1322, Class:  0, CF:0.739512, Len:  4, Fitness_tra: 12
Rule 21: 51f1, Class:  0, CF:0.744038, Len:  4, Fitness_tra: 8
Rule 22: 5523, Class:  0, CF:  1, Len:  4, Fitness_tra: 11
Rule 23: 5312, Class:  1, CF:0.114141, Len:  4, Fitness_tra: 0
Rule 24: 6311, Class:  1, CF:0.403964, Len:  4, Fitness_tra: 0
Rule 25: 4354, Class:  0, CF:0.689767, Len:  4, Fitness_tra: 13
Rule 26: 3352, Class:  0, CF:0.971936, Len:  4, Fitness_tra: 2
Rule 27: 0602, Class:  0, CF:0.315215, Len:  2, Fitness_tra: -5
Rule 28: 3000, Class:  0, CF:0.00899965, Len:  1, Fitness_tra: 0
Rule 29: 1335, Class:  0, CF:0.383045, Len:  4, Fitness_tra: 0
Rule 30: 7911, Class:  0, CF:0.526716, Len:  4, Fitness_tra: 3
Rule 31: 0553, Class:  1, CF:0.0937705, Len:  3, Fitness_tra: 0
Rule 32: 0054, Class:  0, CF:0.0714782, Len:  2, Fitness_tra: 0
Rule 33: c1c1, Class:  1, CF:0.69589, Len:  4, Fitness_tra: 16
Rule 34: 3356, Class:  0, CF:0.684489, Len:  4, Fitness_tra: 3
Rule 35: 0060, Class:  0, CF:0.111538, Len:  1, Fitness_tra: -8
Rule 36: 23d9, Class:  0, CF:0.927181, Len:  4, Fitness_tra: 5
Rule 37: 9c50, Class:  1, CF:0.245091, Len:  3, Fitness_tra: -1
Rule 38: 1221, Class:  1, CF:0.141498, Len:  4, Fitness_tra: 0
Rule 39: 6200, Class:  0, CF:0.0324333, Len:  2, Fitness_tra: 0
Rule 40: 3352, Class:  0, CF:0.971936, Len:  4, Fitness_tra: 0
Rule 41: d5d1, Class:  1, CF:0.0106294, Len:  4, Fitness_tra: 0
Rule 42: 6000, Class:  0, CF:0.0645326, Len:  1, Fitness_tra: 1
Rule 43: 6355, Class:  0, CF:0.998391, Len:  4, Fitness_tra: 1
Rule 44: 411d, Class:  1, CF:0.215908, Len:  4, Fitness_tra: 0
Rule 45: 2213, Class:  0, CF:0.750455, Len:  4, Fitness_tra: 20
Rule 46: 1855, Class:  0, CF:0.581656, Len:  4, Fitness_tra: 8
Rule 47: 5002, Class:  0, CF:0.0329268, Len:  2, Fitness_tra: 0
Rule 48: 9133, Class:  0, CF:0.890931, Len:  4, Fitness_tra: 4
Rule 49: 511b, Class:  0, CF:0.316358, Len:  4, Fitness_tra: 0
Rule 50: 1351, Class:  0, CF:0.556655, Len:  4, Fitness_tra: 7
Rule 51: 0520, Class:  1, CF:0.00135875, Len:  2, Fitness_tra: 0
Rule 52: 1671, Class:  1, CF:0.419444, Len:  4, Fitness_tra: 3
Rule 53: 0500, Class:  0, CF:0.10533, Len:  1, Fitness_tra: 0
Rule 54: 1123, Class:  1, CF:0.117874, Len:  4, Fitness_tra: 0
Rule 55: 331b, Class:  1, CF:0.107927, Len:  4, Fitness_tra: 0
Rule 56: 1221, Class:  1, CF:0.141498, Len:  4, Fitness_tra: 0
Rule 57: 2035, Class:  0, CF:0.162227, Len:  3, Fitness_tra: 1
Rule 58: 0600, Class:  0, CF:0.0217699, Len:  1, Fitness_tra: 0
Rule 59: 4550, Class:  1, CF:0.145642, Len:  3, Fitness_tra: 0
Rule 60: 4355, Class:  0, CF:0.93602, Len:  4, Fitness_tra: 7
Rule 61: 9411, Class:  0, CF:0.717796, Len:  4, Fitness_tra: 8
Rule 62: 0050, Class:  0, CF:0.151274, Len:  1, Fitness_tra: 0
Rule 63: 0506, Class:  0, CF:0.407173, Len:  2, Fitness_tra: 8
Rule 64: 6111, Class:  1, CF:0.375155, Len:  4, Fitness_tra: 4
Rule 65: 3040, Class:  0, CF:0.0168297, Len:  2, Fitness_tra: 0
Rule 66: 0545, Class:  1, CF:0.257361, Len:  3, Fitness_tra: 4
Rule 67: 1611, Class:  1, CF:0.434462, Len:  4, Fitness_tra: 10
Rule 68: 0300, Class:  1, CF:0.00499826, Len:  1, Fitness_tra: 0
Rule 69: 5112, Class:  1, CF:0.0581475, Len:  4, Fitness_tra: 0
Rule 70: 5923, Class:  0, CF:  1, Len:  4, Fitness_tra: 0
Rule 71: 0300, Class:  1, CF:0.00499826, Len:  1, Fitness_tra: 0
Rule 72: b217, Class:  1, CF:0.180677, Len:  4, Fitness_tra: 0
Rule 73: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 3991, Class:  1, CF:0.386171, Len:  4, Fitness_tra: -1
Rule 75: 5125, Class:  0, CF:0.101273, Len:  4, Fitness_tra: 0
Rule 76: 0300, Class:  1, CF:0.00499826, Len:  1, Fitness_tra: 0
Rule 77: 5002, Class:  0, CF:0.0329268, Len:  2, Fitness_tra: 0
Rule 78: 4550, Class:  1, CF:0.145642, Len:  3, Fitness_tra: 0
Rule 79: 3213, Class:  0, CF:0.0131282, Len:  4, Fitness_tra: 0
Rule 80: 5137, Class:  0, CF:0.584548, Len:  4, Fitness_tra: -1
Rule 81: 4000, Class:  1, CF:0.0935514, Len:  1, Fitness_tra: 0
Rule 82: 9555, Class:  1, CF:0.0944183, Len:  4, Fitness_tra: 0
Rule 83: 4f12, Class:  0, CF:0.0197696, Len:  4, Fitness_tra: 0
Rule 84: 1111, Class:  1, CF:0.363912, Len:  4, Fitness_tra: 4
Rule 85: 1119, Class:  0, CF:0.605165, Len:  4, Fitness_tra: 19
Rule 86: 606a, Class:  1, CF:0.367799, Len:  3, Fitness_tra: -1
Rule 87: 1413, Class:  1, CF:0.137007, Len:  4, Fitness_tra: 0
Rule 88: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 6000, Class:  0, CF:0.0645326, Len:  1, Fitness_tra: 0
Rule 90: 8158, Class:  0, CF:0.119925, Len:  4, Fitness_tra: 0
Rule 91: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 5116, Class:  0, CF:0.516382, Len:  4, Fitness_tra: 2
Rule 93: 5220, Class:  0, CF:0.118604, Len:  3, Fitness_tra: 0
Rule 94: 0500, Class:  0, CF:0.10533, Len:  1, Fitness_tra: 0
Rule 95: 3152, Class:  0, CF:0.905563, Len:  4, Fitness_tra: 8
Rule 96: 0040, Class:  1, CF:0.120212, Len:  1, Fitness_tra: 3
Rule 97: 6000, Class:  0, CF:0.0645326, Len:  1, Fitness_tra: 0
Rule 98: 4040, Class:  1, CF:0.304344, Len:  2, Fitness_tra: 107
Rule 99: 11e5, Class:  0, CF:0.963096, Len:  4, Fitness_tra: 6
Rule100: 9054, Class:  1, CF:0.0269109, Len:  3, Fitness_tra: 0
------Current------
Miss_rate(tra)	:45.2703
------Result------
Miss_rate(tra)	:45.2703
Miss_rate(tst)	:36.5079
ARL				:2.94

------Generation 1------
Rule  1: 0405, Class:  0, CF:0.136099, Len:  2, Fitness_tra: 3
Rule  2: 4230, Class:  0, CF:0.447698, Len:  3, Fitness_tra: 36
Rule  3: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 1416, Class:  1, CF:0.0850771, Len:  4, Fitness_tra: 0
Rule  5: 0550, Class:  1, CF:0.0154293, Len:  2, Fitness_tra: 0
Rule  6: 1551, Class:  1, CF:0.27912, Len:  4, Fitness_tra: 3
Rule  7: 1124, Class:  0, CF:0.189282, Len:  4, Fitness_tra: 0
Rule  8: 9000, Class:  0, CF:0.243378, Len:  1, Fitness_tra: -4
Rule  9: 4000, Class:  1, CF:0.0935514, Len:  1, Fitness_tra: 0
Rule 10: cb24, Class:  1, CF:0.239921, Len:  4, Fitness_tra: -1
Rule 11: b111, Class:  1, CF:0.452172, Len:  4, Fitness_tra: 15
Rule 12: ac34, Class:  1, CF:0.657932, Len:  4, Fitness_tra: 17
Rule 13: 3155, Class:  0, CF:0.966585, Len:  4, Fitness_tra: 3
Rule 14: 6886, Class:  1, CF:0.665216, Len:  4, Fitness_tra: 13
Rule 15: 0500, Class:  0, CF:0.10533, Len:  1, Fitness_tra: 0
Rule 16: 0500, Class:  0, CF:0.10533, Len:  1, Fitness_tra: 0
Rule 17: 0050, Class:  0, CF:0.151274, Len:  1, Fitness_tra: 14
Rule 18: 2112, Class:  1, CF:0.07587, Len:  4, Fitness_tra: 0
Rule 19: 6066, Class:  1, CF:0.297128, Len:  3, Fitness_tra: 0
Rule 20: 1322, Class:  0, CF:0.739512, Len:  4, Fitness_tra: 12
Rule 21: 51f1, Class:  0, CF:0.744038, Len:  4, Fitness_tra: 8
Rule 22: 5523, Class:  0, CF:  1, Len:  4, Fitness_tra: 11
Rule 23: 5312, Class:  1, CF:0.114141, Len:  4, Fitness_tra: 0
Rule 24: 6311, Class:  1, CF:0.403964, Len:  4, Fitness_tra: 0
Rule 25: 4354, Class:  0, CF:0.689767, Len:  4, Fitness_tra: 13
Rule 26: 3352, Class:  0, CF:0.971936, Len:  4, Fitness_tra: 2
Rule 27: 0602, Class:  0, CF:0.315215, Len:  2, Fitness_tra: -5
Rule 28: 3000, Class:  0, CF:0.00899965, Len:  1, Fitness_tra: 0
Rule 29: 1335, Class:  0, CF:0.383045, Len:  4, Fitness_tra: 0
Rule 30: 7911, Class:  0, CF:0.526716, Len:  4, Fitness_tra: 3
Rule 31: 0553, Class:  1, CF:0.0937705, Len:  3, Fitness_tra: 0
Rule 32: 0054, Class:  0, CF:0.0714782, Len:  2, Fitness_tra: 0
Rule 33: c1c1, Class:  1, CF:0.69589, Len:  4, Fitness_tra: 16
Rule 34: 3356, Class:  0, CF:0.684489, Len:  4, Fitness_tra: 3
Rule 35: 0060, Class:  0, CF:0.111538, Len:  1, Fitness_tra: -8
Rule 36: 23d9, Class:  0, CF:0.927181, Len:  4, Fitness_tra: 5
Rule 37: 9c50, Class:  1, CF:0.245091, Len:  3, Fitness_tra: -1
Rule 38: 1221, Class:  1, CF:0.141498, Len:  4, Fitness_tra: 0
Rule 39: 6200, Class:  0, CF:0.0324333, Len:  2, Fitness_tra: 0
Rule 40: 3352, Class:  0, CF:0.971936, Len:  4, Fitness_tra: 0
Rule 41: d5d1, Class:  1, CF:0.0106294, Len:  4, Fitness_tra: 0
Rule 42: 6000, Class:  0, CF:0.0645326, Len:  1, Fitness_tra: 1
Rule 43: 6355, Class:  0, CF:0.998391, Len:  4, Fitness_tra: 1
Rule 44: 411d, Class:  1, CF:0.215908, Len:  4, Fitness_tra: 0
Rule 45: 2213, Class:  0, CF:0.750455, Len:  4, Fitness_tra: 20
Rule 46: 1855, Class:  0, CF:0.581656, Len:  4, Fitness_tra: 8
Rule 47: 5002, Class:  0, CF:0.0329268, Len:  2, Fitness_tra: 0
Rule 48: 9133, Class:  0, CF:0.890931, Len:  4, Fitness_tra: 4
Rule 49: 511b, Class:  0, CF:0.316358, Len:  4, Fitness_tra: 0
Rule 50: 1351, Class:  0, CF:0.556655, Len:  4, Fitness_tra: 7
Rule 51: 0520, Class:  1, CF:0.00135875, Len:  2, Fitness_tra: 0
Rule 52: 1671, Class:  1, CF:0.419444, Len:  4, Fitness_tra: 3
Rule 53: 0500, Class:  0, CF:0.10533, Len:  1, Fitness_tra: 0
Rule 54: 1123, Class:  1, CF:0.117874, Len:  4, Fitness_tra: 0
Rule 55: 331b, Class:  1, CF:0.107927, Len:  4, Fitness_tra: 0
Rule 56: 1221, Class:  1, CF:0.141498, Len:  4, Fitness_tra: 0
Rule 57: 2035, Class:  0, CF:0.162227, Len:  3, Fitness_tra: 1
Rule 58: 0600, Class:  0, CF:0.0217699, Len:  1, Fitness_tra: 0
Rule 59: 4550, Class:  1, CF:0.145642, Len:  3, Fitness_tra: 0
Rule 60: 4355, Class:  0, CF:0.93602, Len:  4, Fitness_tra: 7
Rule 61: 9411, Class:  0, CF:0.717796, Len:  4, Fitness_tra: 8
Rule 62: 0050, Class:  0, CF:0.151274, Len:  1, Fitness_tra: 0
Rule 63: 0506, Class:  0, CF:0.407173, Len:  2, Fitness_tra: 8
Rule 64: 6111, Class:  1, CF:0.375155, Len:  4, Fitness_tra: 4
Rule 65: 3040, Class:  0, CF:0.0168297, Len:  2, Fitness_tra: 0
Rule 66: 0545, Class:  1, CF:0.257361, Len:  3, Fitness_tra: 4
Rule 67: 1611, Class:  1, CF:0.434462, Len:  4, Fitness_tra: 10
Rule 68: 0300, Class:  1, CF:0.00499826, Len:  1, Fitness_tra: 0
Rule 69: 5112, Class:  1, CF:0.0581475, Len:  4, Fitness_tra: 0
Rule 70: 5923, Class:  0, CF:  1, Len:  4, Fitness_tra: 0
Rule 71: 0300, Class:  1, CF:0.00499826, Len:  1, Fitness_tra: 0
Rule 72: b217, Class:  1, CF:0.180677, Len:  4, Fitness_tra: 0
Rule 73: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 3991, Class:  1, CF:0.386171, Len:  4, Fitness_tra: -1
Rule 75: 5125, Class:  0, CF:0.101273, Len:  4, Fitness_tra: 0
Rule 76: 0300, Class:  1, CF:0.00499826, Len:  1, Fitness_tra: 0
Rule 77: 5002, Class:  0, CF:0.0329268, Len:  2, Fitness_tra: 0
Rule 78: 4550, Class:  1, CF:0.145642, Len:  3, Fitness_tra: 0
Rule 79: 3213, Class:  0, CF:0.0131282, Len:  4, Fitness_tra: 0
Rule 80: 5137, Class:  0, CF:0.584548, Len:  4, Fitness_tra: -1
Rule 81: 4000, Class:  1, CF:0.0935514, Len:  1, Fitness_tra: 0
Rule 82: 9555, Class:  1, CF:0.0944183, Len:  4, Fitness_tra: 0
Rule 83: 4f12, Class:  0, CF:0.0197696, Len:  4, Fitness_tra: 0
Rule 84: 1111, Class:  1, CF:0.363912, Len:  4, Fitness_tra: 4
Rule 85: 1119, Class:  0, CF:0.605165, Len:  4, Fitness_tra: 19
Rule 86: 606a, Class:  1, CF:0.367799, Len:  3, Fitness_tra: -1
Rule 87: 1413, Class:  1, CF:0.137007, Len:  4, Fitness_tra: 0
Rule 88: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 6000, Class:  0, CF:0.0645326, Len:  1, Fitness_tra: 0
Rule 90: 8158, Class:  0, CF:0.119925, Len:  4, Fitness_tra: 0
Rule 91: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 5116, Class:  0, CF:0.516382, Len:  4, Fitness_tra: 2
Rule 93: 5220, Class:  0, CF:0.118604, Len:  3, Fitness_tra: 0
Rule 94: 0500, Class:  0, CF:0.10533, Len:  1, Fitness_tra: 0
Rule 95: 3152, Class:  0, CF:0.905563, Len:  4, Fitness_tra: 8
Rule 96: 0040, Class:  1, CF:0.120212, Len:  1, Fitness_tra: 3
Rule 97: 6000, Class:  0, CF:0.0645326, Len:  1, Fitness_tra: 0
Rule 98: 4040, Class:  1, CF:0.304344, Len:  2, Fitness_tra: 107
Rule 99: 11e5, Class:  0, CF:0.963096, Len:  4, Fitness_tra: 6
Rule100: 9054, Class:  1, CF:0.0269109, Len:  3, Fitness_tra: 0
------Current------
Miss_rate(tra)	:45.2703
------Result------
Miss_rate(tra)	:45.2703
Miss_rate(tst)	:36.5079
ARL				:2.94

------Generation 2------
Rule  1: 0405, Class:  0, CF:0.136099, Len:  2, Fitness_tra: 3
Rule  2: 4230, Class:  0, CF:0.447698, Len:  3, Fitness_tra: 36
Rule  3: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 1416, Class:  1, CF:0.0850771, Len:  4, Fitness_tra: 0
Rule  5: 0550, Class:  1, CF:0.0154293, Len:  2, Fitness_tra: 0
Rule  6: 1551, Class:  1, CF:0.27912, Len:  4, Fitness_tra: 3
Rule  7: 1124, Class:  0, CF:0.189282, Len:  4, Fitness_tra: 0
Rule  8: 9000, Class:  0, CF:0.243378, Len:  1, Fitness_tra: -4
Rule  9: 4000, Class:  1, CF:0.0935514, Len:  1, Fitness_tra: 0
Rule 10: cb24, Class:  1, CF:0.239921, Len:  4, Fitness_tra: -1
Rule 11: b111, Class:  1, CF:0.452172, Len:  4, Fitness_tra: 15
Rule 12: ac34, Class:  1, CF:0.657932, Len:  4, Fitness_tra: 17
Rule 13: 3155, Class:  0, CF:0.966585, Len:  4, Fitness_tra: 3
Rule 14: 6886, Class:  1, CF:0.665216, Len:  4, Fitness_tra: 13
Rule 15: 0500, Class:  0, CF:0.10533, Len:  1, Fitness_tra: 0
Rule 16: 0500, Class:  0, CF:0.10533, Len:  1, Fitness_tra: 0
Rule 17: 0050, Class:  0, CF:0.151274, Len:  1, Fitness_tra: 14
Rule 18: 2112, Class:  1, CF:0.07587, Len:  4, Fitness_tra: 0
Rule 19: 6066, Class:  1, CF:0.297128, Len:  3, Fitness_tra: 0
Rule 20: 1322, Class:  0, CF:0.739512, Len:  4, Fitness_tra: 12
Rule 21: 51f1, Class:  0, CF:0.744038, Len:  4, Fitness_tra: 8
Rule 22: 5523, Class:  0, CF:  1, Len:  4, Fitness_tra: 11
Rule 23: 5312, Class:  1, CF:0.114141, Len:  4, Fitness_tra: 0
Rule 24: 6311, Class:  1, CF:0.403964, Len:  4, Fitness_tra: 0
Rule 25: 4354, Class:  0, CF:0.689767, Len:  4, Fitness_tra: 13
Rule 26: 3352, Class:  0, CF:0.971936, Len:  4, Fitness_tra: 2
Rule 27: 0602, Class:  0, CF:0.315215, Len:  2, Fitness_tra: -5
Rule 28: 3000, Class:  0, CF:0.00899965, Len:  1, Fitness_tra: 0
Rule 29: 1335, Class:  0, CF:0.383045, Len:  4, Fitness_tra: 0
Rule 30: 7911, Class:  0, CF:0.526716, Len:  4, Fitness_tra: 3
Rule 31: 0553, Class:  1, CF:0.0937705, Len:  3, Fitness_tra: 0
Rule 32: 0054, Class:  0, CF:0.0714782, Len:  2, Fitness_tra: 0
