------Generation 0------
Rule  1: 1e217, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 72: 51474, Class:  1, CF:0.956461, Len:  5, Fitness_tra: 0
Rule 73: 12b22, Class:  1, CF:0.833168, Len:  5, Fitness_tra: 0
Rule 74: 1821b, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 75: e1121, Class:  1, CF:0.994185, Len:  5, Fitness_tra: 0
Rule 76: 34111, Class:  0, CF:0.806495, Len:  5, Fitness_tra: 0
Rule 77: 1d221, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 78: 1811b, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 79: 11471, Class:  1, CF:0.177443, Len:  5, Fitness_tra: 0
Rule 80: de117, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 81: e2441, Class:  1, CF:0.500892, Len:  5, Fitness_tra: 0
Rule 82: 0b000, Class:  1, CF:0.00184843, Len:  1, Fitness_tra: 0
Rule 83: e1211, Class:  1, CF:0.539816, Len:  5, Fitness_tra: 0
Rule 84: 00c00, Class:  0, CF:  1, Len:  0, Fitness_tra: 0
Rule 85: 05c00, Class:  0, CF:  1, Len:  2, Fitness_tra: 0
Rule 86: 07009, Class:  1, CF:  1, Len:  2, Fitness_tra: 1
Rule 87: 5c17b, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 88: 11d12, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 89: 113e1, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 90: c1322, Class:  1, CF:0.961927, Len:  5, Fitness_tra: 0
Rule 91: 31176, Class:  0, CF:0.584782, Len:  5, Fitness_tra: 0
Rule 92: 07100, Class:  0, CF:0.27137, Len:  2, Fitness_tra: 0
Rule 93: 11727, Class:  1, CF:0.862545, Len:  5, Fitness_tra: 0
Rule 94: c1211, Class:  0, CF:0.657608, Len:  5, Fitness_tra: 0
Rule 95: 650ab, Class:  0, CF:  1, Len:  4, Fitness_tra: 0
Rule 96: 92c72, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 97: 18241, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 98: d8d47, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 92cb1, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule100: b8177, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
------Current------
Miss_rate(tra)	:2.59067
------Result------
Miss_rate(tra)	:2.59067
Miss_rate(tst)	:4.54545
ARL				:4.58163

------Generation 1------
Rule  1: 0c000, Class:  0, CF:0.996878, Len:  1, Fitness_tra: 86
Rule  2: 07000, Class:  0, CF:0.301026, Len:  1, Fitness_tra: 45
Rule  3: 00c00, Class:  0, CF:  1, Len:  1, Fitness_tra: 11
Rule  4: 0000b, Class:  1, CF:0.390876, Len:  1, Fitness_tra: 2
Rule  5: 04b00, Class:  0, CF:0.596972, Len:  2, Fitness_tra: 7
Rule  6: 12211, Class:  0, CF:0.925135, Len:  5, Fitness_tra: 4
Rule  7: 2311b, Class:  1, CF:0.705103, Len:  5, Fitness_tra: 0
Rule  8: 51121, Class:  1, CF:0.956842, Len:  5, Fitness_tra: 0
Rule  9: 23144, Class:  1, CF:0.985008, Len:  5, Fitness_tra: 0
Rule 10: 12711, Class:  0, CF:0.864261, Len:  5, Fitness_tra: 2
Rule 11: 21172, Class:  1, CF:0.975445, Len:  5, Fitness_tra: 0
Rule 12: 51114, Class:  1, CF:0.835583, Len:  5, Fitness_tra: 0
Rule 13: 18211, Class:  0, CF:  1, Len:  5, Fitness_tra: 1
Rule 14: 13124, Class:  1, CF:0.982532, Len:  5, Fitness_tra: 0
Rule 15: 5117b, Class:  1, CF:0.968098, Len:  5, Fitness_tra: 0
Rule 16: 07009, Class:  1, CF:  1, Len:  2, Fitness_tra: 1
Rule 17: 1e217, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 18: 58144, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 19: 58144, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 20: d5117, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 21: 11722, Class:  1, CF:0.945113, Len:  5, Fitness_tra: 0
Rule 22: 1c444, Class:  0, CF:0.848274, Len:  5, Fitness_tra: 0
Rule 23: 11544, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 24: 312b1, Class:  0, CF:0.764765, Len:  5, Fitness_tra: 0
Rule 25: d9142, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 26: 1cb41, Class:  0, CF:0.991896, Len:  5, Fitness_tra: 0
Rule 27: 3c2b1, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 28: 21172, Class:  1, CF:0.975445, Len:  5, Fitness_tra: 0
Rule 29: c1122, Class:  1, CF:0.957422, Len:  5, Fitness_tra: 0
Rule 30: 11214, Class:  1, CF:0.280603, Len:  5, Fitness_tra: 0
Rule 31: 112bb, Class:  1, CF:0.478813, Len:  5, Fitness_tra: 0
Rule 32: 98c77, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 33: 11472, Class:  1, CF:0.92481, Len:  5, Fitness_tra: 0
Rule 34: 1d1b2, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 35: 18171, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 36: 9c474, Class:  0, CF:0.675644, Len:  5, Fitness_tra: 0
Rule 37: 152b2, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 38: 31c2b, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 39: 181b1, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 40: 15244, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 41: 1c114, Class:  0, CF:0.986747, Len:  5, Fitness_tra: 0
Rule 42: 31112, Class:  1, CF:0.377165, Len:  5, Fitness_tra: 0
Rule 43: 11217, Class:  1, CF:0.0742489, Len:  5, Fitness_tra: 0
Rule 44: 31712, Class:  1, CF:0.132055, Len:  5, Fitness_tra: 0
Rule 45: 58247, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 46: 14215, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 47: 1d242, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 48: 00000, Class:  1, CF:2.22045e-16, Len:  0, Fitness_tra: 0
Rule 49: 15171, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 50: 9c14b, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 51: 92122, Class:  1, CF:0.977613, Len:  5, Fitness_tra: 0
Rule 52: 11172, Class:  1, CF:0.953161, Len:  5, Fitness_tra: 0
Rule 53: d224b, Class:  1, CF:0.447227, Len:  5, Fitness_tra: 0
Rule 54: 1182b, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 55: 5814b, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 56: 55212, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 57: d82b1, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 58: e14b7, Class:  1, CF:0.990484, Len:  5, Fitness_tra: 0
Rule 59: 1112b, Class:  1, CF:0.91755, Len:  5, Fitness_tra: 0
Rule 60: 04700, Class:  0, CF:0.623993, Len:  2, Fitness_tra: 0
Rule 61: 15272, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 62: 5c27b, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 63: 3d722, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 64: 3c241, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 65: d8117, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 66: 91724, Class:  1, CF:0.986231, Len:  5, Fitness_tra: 0
Rule 67: 321b1, Class:  0, CF:0.830268, Len:  5, Fitness_tra: 0
Rule 68: 31214, Class:  0, CF:0.0470831, Len:  5, Fitness_tra: 0
Rule 69: 35212, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 70: 11474, Class:  1, CF:0.842621, Len:  5, Fitness_tra: 0
Rule 71: 1dc14, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 72: 51474, Class:  1, CF:0.956461, Len:  5, Fitness_tra: 0
Rule 73: 12b22, Class:  1, CF:0.833168, Len:  5, Fitness_tra: 0
Rule 74: 1821b, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 75: e1121, Class:  1, CF:0.994185, Len:  5, Fitness_tra: 0
Rule 76: 34111, Class:  0, CF:0.806495, Len:  5, Fitness_tra: 0
Rule 77: 1d221, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 78: 1811b, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 79: 11471, Class:  1, CF:0.177443, Len:  5, Fitness_tra: 0
Rule 80: de117, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 81: e2241, Class:  1, CF:0.500892, Len:  5, Fitness_tra: 0
Rule 82: 0b000, Class:  1, CF:0.00184843, Len:  1, Fitness_tra: 0
Rule 83: 32111, Class:  0, CF:0.901709, Len:  5, Fitness_tra: 0
Rule 84: 00c00, Class:  0, CF:  1, Len:  0, Fitness_tra: 0
Rule 85: 05c00, Class:  0, CF:  1, Len:  2, Fitness_tra: 0
Rule 86: 13321, Class:  1, CF:0.893808, Len:  5, Fitness_tra: 0
Rule 87: 1d82b, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 88: 35212, Class:  0, CF:  1, Len:  0, Fitness_tra: 0
Rule 89: 18db4, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 90: 33144, Class:  1, CF:0.664452, Len:  5, Fitness_tra: 0
Rule 91: d424b, Class:  1, CF:0.45516, Len:  5, Fitness_tra: 0
Rule 92: dc9d7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 03600, Class:  1, CF:0.613135, Len:  2, Fitness_tra: 5
Rule 94: 00000, Class:  1, CF:2.22045e-16, Len:  0, Fitness_tra: 0
Rule 95: 1950c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 321bd, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 11cb7, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 98: 56000, Class:  1, CF:0.954982, Len:  2, Fitness_tra: 9
Rule 99: 57164, Class:  1, CF:0.434524, Len:  5, Fitness_tra: 0
Rule100: 11017, Class:  1, CF:0.370746, Len:  4, Fitness_tra: 0
------Current------
Miss_rate(tra)	:5.18135
------Result------
Miss_rate(tra)	:5.18135
Miss_rate(tst)	:4.54545
ARL				:4.53191

------Generation 2------
Rule  1: 0c000, Class:  0, CF:0.996878, Len:  1, Fitness_tra: 86
Rule  2: 07000, Class:  0, CF:0.301026, Len:  1, Fitness_tra: 45
Rule  3: 00c00, Class:  0, CF:  1, Len:  1, Fitness_tra: 11
Rule  4: 0000b, Class:  1, CF:0.390876, Len:  1, Fitness_tra: 2
Rule  5: 04b00, Class:  0, CF:0.596972, Len:  2, Fitness_tra: 7
Rule  6: 12211, Class:  0, CF:0.925135, Len:  5, Fitness_tra: 4
Rule  7: 2311b, Class:  1, CF:0.705103, Len:  5, Fitness_tra: 0
Rule  8: 51121, Class:  1, CF:0.956842, Len:  5, Fitness_tra: 0
Rule  9: 23144, Class:  1, CF:0.985008, Len:  5, Fitness_tra: 0
Rule 10: 12711, Class:  0, CF:0.864261, Len:  5, Fitness_tra: 2
Rule 11: 21172, Class:  1, CF:0.975445, Len:  5, Fitness_tra: 0
Rule 12: 51114, Class:  1, CF:0.835583, Len:  5, Fitness_tra: 0
Rule 13: 18211, Class:  0, CF:  1, Len:  5, Fitness_tra: 1
Rule 14: 13124, Class:  1, CF:0.982532, Len:  5, Fitness_tra: 0
Rule 15: 5117b, Class:  1, CF:0.968098, Len:  5, Fitness_tra: 0
Rule 16: 07009, Class:  1, CF:  1, Len:  2, Fitness_tra: 1
Rule 17: 1e217, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 18: 58144, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 19: 58144, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 20: d5117, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 21: 11722, Class:  1, CF:0.945113, Len:  5, Fitness_tra: 0
Rule 22: 1c444, Class:  0, CF:0.848274, Len:  5, Fitness_tra: 0
Rule 23: 11544, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 24: 312b1, Class:  0, CF:0.764765, Len:  5, Fitness_tra: 0
Rule 25: d9142, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 26: 1cb41, Class:  0, CF:0.991896, Len:  5, Fitness_tra: 0
Rule 27: 3c2b1, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 28: 21172, Class:  1, CF:0.975445, Len:  5, Fitness_tra: 0
Rule 29: c1122, Class:  1, CF:0.957422, Len:  5, Fitness_tra: 0
Rule 30: 11214, Class:  1, CF:0.280603, Len:  5, Fitness_tra: 0
Rule 31: 112bb, Class:  1, CF:0.478813, Len:  5, Fitness_tra: 0
Rule 32: 98c77, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 33: 11472, Class:  1, CF:0.92481, Len:  5, Fitness_tra: 0
Rule 34: 1d1b2, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 35: 18171, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 36: 9c474, Class:  0, CF:0.675644, Len:  5, Fitness_tra: 0
